vinho,chave_estrangeira,origem,tipo,estilo
Pol Roger 'Sir Winston Churchill' 2013/15 Vintage Champagne,Chardonnay,France,White,Rich & Toasty
Puligny-Montrachet 2019/20 Doudet Naudin,Chardonnay,France,White,Rich & Toasty
"Rijckaert F. Rouve Saint Véran 'Haute Cuvée' 2020/21, Burgundy",Chardonnay,France,White,Ripe & Rounded
"Robert Oatley 'Signature Series' Cabernet Sauvignon 2018/19, Margaret River",Cabernet Sauvignon,Australia,Red,Savoury & Full Bodied
Roberto Sarotto Barbaresco Riserva 'Currà' 2016/17,Nebbiolo,Italy,Red,Light & Elegant
"Rustenberg ‘Peter Barlow’ 2017, Stellenbosch",Cabernet Sauvignon,South Africa,Red,Savoury & Full Bodied
"Rustenberg 'John X Merriman' 2019/20, Stellenbosch",Cabernet Sauvignon,South Africa,Red,Savoury & Full Bodied
Saint-Véran Les Vignerons des Grandes Vignes 2020/21,Chardonnay,France,White,Ripe & Rounded
"Santa Rita ‘Medalla Real’ Cabernet Sauvignon 2019/20, Maipo Valley",Cabernet Sauvignon,Chile,Red,Savoury & Full Bodied
"Santa Rita ‘Medalla Real’ Chardonnay 2020/21, Limari Valley",Chardonnay,Chile,White,Rich & Toasty
"Shaw + Smith ‘M3’ Chardonnay 2021/22, Adelaide Hills",Chardonnay,Australia,White,Rich & Toasty
"Smith & Wright Chardonnay 2020/21, Australia",Chardonnay,Australia,White,Ripe & Rounded
"Smith & Wright Merlot 2020/21, Australia",Merlot,Australia,Red,Smooth & Mellow
"Solomonar Reserve Red 2020/21, Romania",Merlot,Romania,Red,Rich & Juicy
"Tahbilk 'The Tower' Marsanne 2019/22, Victoria",Marsanne,Australia,White,Fresh & Elegant
"Tbilvino 'Qvevris' Rkatsiteli 2020/21, Georgia",Rkatsiteli,Georgia,White,Ripe & Rounded
Tenuta San Giorgio ‘Ugolforte’ Brunello di Montalcino DOCG 2016/17,Sangiovese,Italy,Red,Savoury & Full Bodied
"Terrazas de los Andes Chardonnay 2020, Mendoza",Chardonnay,Argentina,White,Rich & Toasty
"Terre del Buontalenti 2018/19, Toscana",Sangiovese,Italy,Red,Savoury & Full Bodied
"The King's Legacy Chardonnay 2019/20, Marlborough",Chardonnay,New Zealand,White,Rich & Toasty
Monte Schiavo Organic Verdicchio dei Castelli di Jesi DOC 2022,Verdicchio,Italy,White,Aromatic & Floral
Veuve Clicquot 'La Grande Dame' 2012/15 Champagne,Chardonnay,France,White,Rich & Toasty
"VIK Milla Cala 2019/20, Cachapoal Valley",Cabernet Sauvignon,Chile,Red,Bold & Spicy
"Vino Nobile Di Montepuliciano 2017/18 Bonacchi, Italy",Sangiovese,Italy,Red,Soft & Fruity
Viré-Clessé Vieilles Vignes 2020/22 Christophe Cordier,Chardonnay,France,White,Ripe & Rounded
Voerzio Martini 'La Serra' Barolo DOCG 2017,Nebbiolo,Italy,Red,Light & Elegant
"Wolf Blass Yellow Label Chardonnay 2021/22, South Australia",Chardonnay,Australia,White,Ripe & Rounded
"Wynns Coonawarra Estate 'Black Label' Cabernet Sauvignon 2017/18/19, Coonawarra",Cabernet Sauvignon,Australia,Red,Smooth & Mellow
"Yalumba Cigar Cabernet Sauvignon 2017/18, Coonawarra",Cabernet Sauvignon,Australia,Red,Smooth & Mellow
"Yalumba 'The Signature' Cabernet Sauvignon-Shiraz 2018/19, Barossa",Cabernet Sauvignon,Australia,Red,Savoury & Full Bodied
Definition Sauternes 2013/16,Sémillon,France,White,
Veuve Clicquot Brut Champagne,Chardonnay,France,White,Rich & Toasty
L'Ouest de Lamothe Guignard Sauternes 2010 Half Bottle,Sémillon,France,White,Aromatic & Floral
Château Duhart Milon Pauillac 2011,Cabernet Sauvignon,France,Red,Savoury & Full Bodied
Bollinger 'Special Cuvée' Brut Champagne,Chardonnay,France,White,Rich & Toasty
"Balfour '1503' Brut, Kent",Chardonnay,England,White,Crisp & Fruity
"Graham Beck Brut, South Africa",Chardonnay,South Africa,White,Rich & Toasty
"Chapel Down 'A Touch of Sparkle' 2021/22, Kent",Bacchus,England,White,Crisp & Fruity
Domaine Michaut Frères 'Le Jardin du Curé' Chablis 2021/22,Chardonnay,France,White,Fresh & Elegant
Cattier Brut Blanc de Blancs Premier Cru Champagne,Chardonnay,France,White,Rich & Toasty
Louis Latour Bourgogne Côte d'Or Blanc 2019/21,Chardonnay,France,White,Ripe & Rounded
"Montes Single Vineyard Merlot 2020/21, Colchagua Valley",Merlot,Chile,Red,Smooth & Mellow
"Catena Chardonnay 2020/21, Mendoza",Chardonnay,Argentina,White,Rich & Toasty
"Montes Single Vineyard Chardonnay 2020/21, Casablanca Valley",Chardonnay,Chile,White,Rich & Toasty
"Incanta Chardonnay 2021, Romania",Chardonnay,Romania,White,
Pol Roger 'Réserve' Brut Champagne,Chardonnay,France,White,Rich & Toasty
Domaine Jomain Bourgogne Côte d’Or Blanc 2020/21,Chardonnay,France,White,Ripe & Rounded
"Domaine de Saint Ferréol Viognier 2021/22, Languedoc",Viognier,France,White,Aromatic & Floral
Moillard-Thomas Chablis Premier Cru 2022,Chardonnay,France,White,Fresh & Elegant
"Chateau Ste. Michelle Cabernet Sauvignon 2018/19, Columbia Valley",Cabernet Sauvignon,USA,Red,Savoury & Full Bodied
Domaine Trouillet Pouilly-Fuissé 2020/21,Chardonnay,France,White,Ripe & Rounded
"Definition Bacchus 2021/22, England",Bacchus,England,White,Aromatic & Floral
"Domaine Begude 'Le Paradis' Organic Viognier 2021/22, Limoux",Viognier,France,White,Ripe & Rounded
"Cline 'Nancy's Vines' Viognier 2020/21, California",Viognier,USA,White,Ripe & Rounded
Definition Sauternes 2014 Half Bottle,Sémillon,France,White,
"Louis M. Martini Cabernet Sauvignon 2017/18, Sonoma County",Cabernet Sauvignon,USA,Red,Smooth & Mellow
"Balfour '1503' Rosé, Kent",Chardonnay,England,Rosé,Crisp & Fruity
"Louis Pommery Brut England, Hampshire",Chardonnay,England,White,Crisp & Fruity
"Definition English Sparkling Rosé, Hampshire",Chardonnay,England,Rosé,Crisp & Fruity
"Amiral de Beychevelle 2020, Saint-Julien",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"LB7 Rosé 2021/22, Lisbon",Castelão,Portugal,Rosé,Ripe & Fruity
"Floração Rosé 2021/22, Lisbon",Castelão,Portugal,Rosé,Ripe & Fruity
"Silver Ghost Rosé 2021/22, South Africa",Pinotage,South Africa,Rosé,Ripe & Fruity
Nicolas Feuillatte Brut Champagne,Chardonnay,France,White,Crisp & Fruity
"Château Tour de Bigorre 2016, Bordeaux",Merlot,France,Red,Savoury & Full Bodied
"Cloudy Bay 'Pelorus' Brut, Marlborough",Chardonnay,New Zealand,White,Crisp & Fruity
"Gabb Family Vineyards Cabernet Sauvignon 2020/21, South Africa",Cabernet Sauvignon,South Africa,Red,Smooth & Mellow
"Mayu Gran Reserva Chardonnay 2020, Elqui Valley",Chardonnay,Chile,White,Ripe & Rounded
Moillard-Thomas Chablis 2021/22,Chardonnay,France,White,Fresh & Elegant
"Lyme Bay Chardonnay 2020/21, Essex",Chardonnay,England,White,Fresh & Elegant
Domaine Cordier Père et Fils 'En Faux' Saint-Véran 2020/22,Chardonnay,France,White,Ripe & Rounded
Domaine Cordier Père et Fils 'Vieilles Vignes' Pouilly-Fuissé 2020/21,Chardonnay,France,White,Ripe & Rounded
Domaine Roux Père & Fils ‘Les Agnières’ Rully Blanc 2020,Chardonnay,France,White,
Famille Brocard Chablis Premier Cru Vau de Vey 2021,Chardonnay,France,White,Fresh & Elegant
"Tbilvino Saperavi 2021, Georgia",Saperavi,Georgia,Red,Bold & Spicy
"Falua Tercius Tinto 2021, Tejo",Castelão,Portugal,Red,Soft & Fruity
Chateau de Targé 'Les Cerisiers de Targe' Organic Saumur-Champigny 2020,Cabernet Franc,France,Red,Light & Elegant
"Bostavan Winery  47°N Chardonnay 2021, Moldova",Chardonnay,Moldova,White,
Baron Edmond de Rothschild Montagne-Saint-Émilion 2016/18,Merlot,France,Red,Savoury & Full Bodied
Ruinart Blanc de Blancs Champagne,Chardonnay,France,White,Rich & Toasty
Veuve Clicquot Rosé Champagne,Chardonnay,France,Rosé,Crisp & Fruity
Ayala 'Brut Majeur' Extra Age Champagne,Chardonnay,France,White,Rich & Toasty
"Château Batailley 'Lions de Batailley' 2015/16, Pauillac",Cabernet Sauvignon,France,Red,
Bollinger Rosé Champagne,Chardonnay,France,Rosé,Crisp & Fruity
Louis Roederer 'Collection 242' Brut Champagne,Chardonnay,France,White,Rich & Toasty
"Rupert & Rothschild 'Baroness Nadine' Chardonnay 2021/22, South Africa",Chardonnay,South Africa,White,Rich & Toasty
Nicolas Feuillatte Champagne Half Bottle,Chardonnay,France,White,Crisp & Fruity
Cantina Chiara Ziliani 'Duca Diseo' Franciacorta DOCG Brut,Chardonnay,Italy,White,Light & Refreshing
Ruinart 'Second Skin' Brut Rosé Champagne,Chardonnay,France,Rosé,Rich & Toasty
Ruinart Rosé Champagne,Chardonnay,France,Rosé,Crisp & Fruity
Drappier 'Signature' Blanc de Blancs Brut Champagne,Chardonnay,France,White,Rich & Toasty
Nicolas Feuillatte Champagne Magnum,Chardonnay,France,White,Crisp & Fruity
Maison Roche de Bellene 'Cuvée Bellenos' Crémant de Bourgogne Brut,Chardonnay,France,White,Crisp & Fruity
Veuve Clicquot Champagne Half Bottle,Chardonnay,France,White,Rich & Toasty
Cattier 'Clos du Moulin' Premier Cru Brut Champagne,Chardonnay,France,White,Rich & Toasty
Villa Antinori Chianti Classico Riserva 2019/20,Sangiovese,Italy,Red,Savoury & Full Bodied
"Viña Errázuriz ‘Estate Series’ Merlot, 2021/22, Valle de Curicó",Merlot,Chile,Red,Smooth & Mellow
"Dogajolo Carpineto 2019/20, Toscana",Cabernet Sauvignon,Italy,Red,Savoury & Full Bodied
"Château de Pennautier 2020/21, Cabardès",Cabernet Sauvignon,France,Red,Bold & Spicy
"Chateau de Pitray 2017, Castillon Côtes de Bordeaux",Cabernet Franc,France,Red,Savoury & Full Bodied
"Château Tour Saint Bonnet 2011, Médoc",Merlot,France,Red,Savoury & Full Bodied
Charmes de Kirwan Margaux 2019,Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Saintsbury Chardonnay 2017/18, Carneros",Chardonnay,USA,White,Rich & Toasty
Laurent-Perrier ‘La Cuvee’ Brut Champagne with 2 glasses,Chardonnay,France,White,Crisp & Fruity
Definition Pouilly-Fuissé 2019/20,Chardonnay,France,White,Rich & Toasty
"Jam Shed Merlot 2020, Central Valley",Merlot,Chile,Red,Rich & Juicy
Tenuta Olim Bauda ‘Era’ Barbera D’Asti DOCG 2019,Barbera,Italy,Red,Savoury & Full Bodied
"Duckhorn Vineyards Chardonnay 2019/21, Napa Valley",Chardonnay,USA,White,Rich & Toasty
Veuve Clicquot Brut Champagne 2012/15,Chardonnay,France,White,Rich & Toasty
Taylor's 'Quinta de Terra Feita' Port 2008/19,Tinta Barroca,Portugal,Red,
Veuve Clicquot Brut Champagne Magnum,Chardonnay,France,White,Rich & Toasty
Louis Latour 'En Paradis' Pouilly-Vinzelles 2019/20,Chardonnay,France,White,Ripe & Rounded
Famille Roux Saint-Aubin Premier Cru 2018/19,Chardonnay,France,White,Rich & Toasty
Yellow Tail Chardonnay 2021/22,Chardonnay,Australia,White,Rich & Toasty
Parcel Series Organic Saint-Émilion Grand Cru 2017,Merlot,France,Red,
"Three Vintners Cabernet Sauvignon 2018, South Australia",Cabernet Sauvignon,Australia,Red,Smooth & Mellow
Moët & Chandon 'Rosé Impérial' Champagne,Chardonnay,France,Rosé,Crisp & Fruity
"Château Fonplégade 2015, Saint-Émilion Grand Cru",Merlot,France,Red,Savoury & Full Bodied
Armand de Brignac Brut Champagne,Chardonnay,France,White,Rich & Toasty
Laborde au Château Chablis 2020,Chardonnay,France,White,Fresh & Elegant
Naudin Père et Fils Meursault 2017,Chardonnay,France,White,Rich & Toasty
"Meerlust Merlot 2017/18, Stellenbosch",Merlot,South Africa,Red,
Grato Grati ‘Vecchia Annata’ Rosso Toscana 1999,Sangiovese,Italy,Red,Savoury & Full Bodied
"Domaine de Saint Ferréol 'Grande Réserve' Viognier 2018/19, Languedoc",Viognier,France,White,Ripe & Rounded
Pol Roger Pure Extra Brut Champagne,Chardonnay,France,White,Crisp & Fruity
Ruinart Blanc de Blanc Champagne Half Bottle,Chardonnay,France,White,Rich & Toasty
Taittinger Comtes de Champagne 2005,Chardonnay,France,White,Rich & Toasty
"Château la Favière 2018/19, Bordeaux Supérieur",Merlot,France,Red,Savoury & Full Bodied
Definition Pauillac 2017/18,Cabernet Sauvignon,France,Red,Savoury & Full Bodied
Edouard Delaunay 'Charmont' Bourgogne Hautes-Côtes de Nuits Blanc 2019/20,Chardonnay,France,White,Ripe & Rounded
"19 Crimes Cabernet Sauvignon 2020/21, Australia",Cabernet Sauvignon,Australia,Red,Rich & Juicy
Alain Chavy 'Clavoillons’ Puligny-Montrachet Premier Cru 2018/20,Chardonnay,France,White,Rich & Toasty
Alain Chavy 'Les Champs Gains’ Puligny-Montrachet Premier Cru 2018/19,Chardonnay,France,White,Rich & Toasty
Alain Chavy 'Les Charmes’ Puligny-Montrachet 2019/20,Chardonnay,France,White,Rich & Toasty
Alain Chavy Puligny-Montrachet 2018/19,Chardonnay,France,White,Rich & Toasty
Alain Jaume 'La Butte d'Or' Condrieu 2020,Viognier,France,White,Ripe & Rounded
"Alamos Chardonnay 2021/22, Mendoza",Chardonnay,Argentina,White,Rich & Toasty
"Alamos Lujan De Cuyo Cabernet 2021/22, Mendoza",Cabernet Sauvignon,Argentina,Red,Smooth & Mellow
"Antinori ‘Tignanello’ 2020, Tuscany",Cabernet Sauvignon,Italy,Red,Savoury & Full Bodied
"Au Bon Climat Chardonnay 2021/22, Santa Barbara County",Chardonnay,USA,White,Rich & Toasty
Barbaresco 2019/20 De Forville,Nebbiolo,Italy,Red,Light & Elegant
"De Forville Barbera D'Alba 2021, Piedmont",Barbera,Italy,Red,Smooth & Mellow
Bollinger ‘Grande Année’ Champagne 2012/14,Chardonnay,France,White,Rich & Toasty
Bollinger Special Cuvée Champagne Magnum,Chardonnay,France,White,Rich & Toasty
"Cape Mentelle Cabernet Sauvignon 2017, Margaret River",Cabernet Sauvignon,Australia,Red,Savoury & Full Bodied
Caves des Grand Crus Blancs Pouilly-Vinzelles 2019/20,Chardonnay,France,White,Ripe & Rounded
Chablis 1er Cru Vaillons 2020/21 Séguinot-Bordet,Chardonnay,France,White,Fresh & Elegant
"Chassagne-Montrachet Blanc 2020/21 Château de la Maltroye, Burgundy",Chardonnay,France,White,Rich & Toasty
"Château Arnauton 2014, Fronsac",Merlot,France,Red,Savoury & Full Bodied
"Château Belair 2003, Saint-Émilion Grand Cru",Merlot,France,Red,Savoury & Full Bodied
"Château Citran 'Moulins de Citran' 2010/12, Haut-Médoc",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Château de Chassagne-Montrachet 2019/20, Chassagne-Montrachet",Chardonnay,France,White,Rich & Toasty
Château de Rayne Vigneau Sauternes 2002,Sémillon,France,White,
"Château du Domaine de L'Église 2014, Pomerol",Merlot,France,Red,
"Château du Tertre 'Les Hauts du Tertre' 2018, Margaux",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Château Fonplégade 2014, Saint-Émilion Grand Cru",Merlot,France,Red,Savoury & Full Bodied
"Château Guiraud 'G de Guiraud' Organic Sémillon/Sauvignon Blanc 2019/20, Bordeaux Blanc",Sémillon,France,White,Fresh & Elegant
"Château la Garde 2013/14, Pessac-Léognan",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
Château Lagrange St Julien 2010,Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Château Lynch-Moussas 2013, Pauillac",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Château Meyney 2013/2017, Saint-Estèphe",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
Vidal-Fleury Côtes du Rhône Blanc 2020/21,Viognier,France,White,Ripe & Rounded
De Forville Dolcetto d'Alba 2020/21,Dolcetto,Italy,Red,Soft & Fruity
"Domaine Begude 'Arcturus' Organic Wild Ferment Chardonnay 2019/20, Limoux",Chardonnay,France,White,Rich & Toasty
Domaine Bernard Michaut 'Beauroy' Chablis Premier Cru 2021/22,Chardonnay,France,White,Fresh & Elegant
Domaine Hubert Bouzereau-Gruère et Filles Meursault 2020/21,Chardonnay,France,White,Rich & Toasty
Domaine Joly Puligny-Montrachet 2019/20,Chardonnay,France,White,Rich & Toasty
Domaine Jomain ‘Les Perrières’ Puligny-Montrachet Premier Cru 2019/20,Chardonnay,France,White,Rich & Toasty
Domaine Jomain Puligny-Montrachet 2020/21,Chardonnay,France,White,Rich & Toasty
"Domaine Maire 'Heritage' Chardonnay 2018, Côtes du Jura",Chardonnay,France,White,Rich & Toasty
"Domaine Rolet Arbois Chardonnay 2016/17, Jura",Chardonnay,France,White,Rich & Toasty
Doudet-Naudin Bourgogne Côte d’Or Chardonnay 2019,Chardonnay,France,White,Ripe & Rounded
"Fitou by Mademoiselle Jones 2020, France",Carignan,France,Red,Bold & Spicy
G. D. Vajra ‘Albe’ Barolo DOCG 2017/18,Nebbiolo,Italy,Red,Light & Elegant
"Gabb Family Vineyards Chardonnay 2020/21, South Africa",Chardonnay,South Africa,White,Ripe & Rounded
Gianni Brunelli Brunello di Montalcino DOCG 2016/17,Sangiovese,Italy,Red,Savoury & Full Bodied
Girardin Père et Fils ‘Vieilles Vignes’ Meursault 2017,Chardonnay,France,White,Ripe & Rounded
Girardin Père et Fils Puligny-Montrachet Vieilles Vignes 2017,Chardonnay,France,White,Rich & Toasty
Grattamacco Organic Bolgheri Rosso DOC 2020/21,Cabernet Sauvignon,Italy,Red,Savoury & Full Bodied
"Hamilton Russell Vineyards Chardonnay 2020/21, Hemel-en-Aarde",Chardonnay,South Africa,White,Rich & Toasty
"Hanna Chardonnay 2018/19, Sonoma County",Chardonnay,USA,White,Rich & Toasty
"J Vineyards 'J Cuvée 20 Brut', Russian River Valley",Chardonnay,USA,White,Crisp & Fruity
Jomain Frères Bourgogne Blanc 2019/20,Chardonnay,France,White,Ripe & Rounded
"Kangarilla Road Chardonnay 2020/21, Adelaide Hills",Chardonnay,Australia,White,Ripe & Rounded
"Kanonkop ‘Paul Sauer’ 2018/19, Stellenbosch",Cabernet Sauvignon,South Africa,Red,Savoury & Full Bodied
"Katie Jones 'L'Histoire' 2019, Fitou",Carignan,France,Red,Bold & Spicy
"Kraal Bay Pinotage 2018, Swartland",Pinotage,South Africa,Red,Savoury & Full Bodied
Kutch Sonoma Coast Chardonnay 2018,Chardonnay,USA,White,Rich & Toasty
La Màgia Organic Brunello di Montalcino DOCG 2016/17,Sangiovese,Italy,Red,Savoury & Full Bodied
La Réserve de Léoville-Barton St-Julien 2018/19,Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Lapostolle 'Cuvée Alexandre' Chardonnay 2019, Casablanca Valley",Chardonnay,Chile,White,Rich & Toasty
Laurent-Perrier La Cuvée Champagne Magnum,Chardonnay,France,White,Crisp & Fruity
"LB7 Red 2018/20 Magnum, Lisbon",Castelão,Portugal,Red,Rich & Juicy
Le Difese Tenuta San Guido 2020/21,Cabernet Sauvignon,Italy,Red,Savoury & Full Bodied
Louis Jadot 'Clos du Cromin' Meursault 2018/20,Chardonnay,France,White,Rich & Toasty
Louis Latour Mâcon-Lugny 2020 Magnum,Chardonnay,France,White,Ripe & Rounded
"Louis Martini Cabernet Sauvignon 2017/18, Napa Valley",Cabernet Sauvignon,USA,Red,Savoury & Full Bodied
Louis Roederer 'Cristal' Champagne 2012,Chardonnay,France,White,Rich & Toasty
"Louis Roederer Quartet, California",Chardonnay,USA,White,Rich & Toasty
Louis Soufflot Chablis 2018,Chardonnay,France,White,Fresh & Elegant
"Luis Felipe Edwards 'Late Harvest' Viognier/Sauvignon Blanc 2018/19 Half Bottle, Colchagua Valley",Viognier,Chile,White,Aromatic & Floral
Lulu l'Alouette Organic Saumur-Champigny 2020/21,Cabernet Franc,France,Red,Light & Elegant
"M. Chapoutier Domaine des Granges de Mirabel Organic Viognier 2019/20, Coteaux de l'Ardèche",Viognier,France,White,Ripe & Rounded
M.Chapoutier 'Les Moniers' Crozes-Hermitage Blanc 2019,Marsanne,France,White,Ripe & Rounded
"Majestic Fresh & Juicy 2020/21, South Africa",Pinotage,South Africa,Red,Smooth & Mellow
"Majestic Ripe & Bold 2020/21, South Africa",Pinotage,South Africa,Red,Rich & Juicy
"Mayacamas Chardonnay 2015, California",Chardonnay,USA,White,Rich & Toasty
"Montes ‘Alpha’ Cabernet 2018, Colchagua Valley",Cabernet Sauvignon,Chile,Red,Bold & Spicy
Morellino di Scansano Organic Poggioargentiera 2020,Sangiovese,Italy,Red,Savoury & Full Bodied
"Nautilus Chardonnay 2019, Marlborough",Chardonnay,New Zealand,White,Rich & Toasty
Nos Terroirs Bios Vacqueyras Blanc 2019,Roussanne,France,White,Ripe & Rounded
Olivier Tricon ‘Léon Valleret’ Chablis 2020,Chardonnay,France,White,Fresh & Elegant
"Orin Swift Palermo 2019/21, California",Cabernet Sauvignon,USA,Red,Savoury & Full Bodied
"Oyster Bay Merlot 2020/21, Hawke's Bay",Merlot,New Zealand,Red,Smooth & Mellow
"Paolo Leo 'Renèe Bianco Organic' 2020/21, Puglia",Chardonnay,Italy,White,Ripe & Rounded
"Penfolds 'Bin 389' Cabernet Sauvignon-Shiraz 2019/21, Australia",Cabernet Sauvignon,Australia,Red,Savoury & Full Bodied
Penfolds Bin A Chardonnay 2019,Chardonnay,Australia,White,Rich & Toasty
"Petaluma Chardonnay 2019/21, Piccadilly Valley",Chardonnay,Australia,White,Rich & Toasty
"Peter Lehmann Masters 'Margaret' Semillon 2013, Barossa Valley",Sémillon,Australia,White,Rich & Toasty
Peter Lehmann 'Mentor' Cabernet Sauvignon 2014,Cabernet Sauvignon,Australia,Red,
"Peyrassol 'Le Clos' Rosé, Provence 2020",Tibouren,France,Rosé,Delicate & Dry
"Philippe le Hardi 'Les Platanes d'Henri IV' 2019/20, Santenay",Chardonnay,France,White,Rich & Toasty
"Pio Cesare Nebbiolo 2016/17, Langhe",Nebbiolo,Italy,Red,Light & Elegant
Pratuccio Chianti 2019/20,Sangiovese,Italy,Red,Soft & Fruity
"Puligny-Montrachet 1er Cru 'La Garenne' 2015 Duc de Magenta, Jadot",Chardonnay,France,White,Rich & Toasty
"Ramey 'Rochioli Vineyard' Chardonnay 2015, Russian River Valley",Chardonnay,USA,White,Rich & Toasty
"Rijckaert - F. Rouve ‘Sur le Marnes’ Chardonnay 2020, Côtes du Jura",Chardonnay,France,White,Rich & Toasty
Ropiteau Frères Chassagne-Montrachet 2020/21,Chardonnay,France,White,Rich & Toasty
"Rustenberg ‘Five Soldiers’ Chardonnay 2021, Stellenbosch",Chardonnay,South Africa,White,Ripe & Rounded
"Rutherglen Shelley's Block Marsanne, Viognier, Rousanne 2018",Marsanne,Australia,White,Ripe & Rounded
"Saint Clair ‘Pioneer Block’ Viognier 2020, Hawke’s Bay",Viognier,New Zealand,White,Aromatic & Floral
"Saint Clair 'Pioneer Block' Chardonnay 2019/20, Marlborough",Chardonnay,New Zealand,White,Rich & Toasty
"San Leonino 'Al Limite' Chianti Classico DOCG 2018, Half Bottle",Sangiovese,Italy,Red,Soft & Fruity
San Polo Brunello di Montalcino 2017,Sangiovese,Italy,Red,Savoury & Full Bodied
"Sassicaia 2019/20, Bolgheri",Cabernet Sauvignon,Italy,Red,Savoury & Full Bodied
"Selborne Classic Cuvée Brut, England",Chardonnay,England,White,Crisp & Fruity
"Silver Ghost Cabernet Sauvignon 2021/22, Central Valley",Cabernet Sauvignon,Chile,Red,Smooth & Mellow
"Springfield Estate 'Wild Yeast' Chardonnay 2020/21, Robertson",,South Africa,White,Ripe & Rounded
"Stag's Leap 'Hands of Time' Red Blend 2018/19, Napa Valley",Cabernet Sauvignon,USA,Red,Smooth & Mellow
"Stone Arka Merlot 2017, Bulgaria",Merlot,Bulgaria,Red,Soft & Fruity
"Stonier Reserve Chardonnay 2016, Mornington Peninsula",Chardonnay,Australia,White,Rich & Toasty
Taittinger Comtes de Champagne 2008,Chardonnay,France,White,Rich & Toasty
Taittinger Comtes de Champagne 2011/12,Chardonnay,France,White,Rich & Toasty
"Taylor's Port 2007, Portugal",Tinta Barroca,Portugal,Red,
"Te Mata Estate 'Awatea' Cabernets/Merlot 2017, Hawke's Bay",Cabernet Sauvignon,New Zealand,Red,Savoury & Full Bodied
"Ten Minutes By Tractor Estate Chardonnay 2019/20, Mornington Peninsula",Chardonnay,Australia,White,Rich & Toasty
Terredora Falanghina 2020/21,Falanghina,Italy,White,Smooth & Light
"The Long Coast Cabernet Sauvignon 2019/20, Maipo Valley",Cabernet Sauvignon,Chile,Red,Bold & Spicy
"Trizanne Signature Wines 'TSW' Marsanne-Roussanne 2020, South Africa",Marsanne,South Africa,White,Aromatic & Floral
"Two Birds One Stone White 2018, France",Colombard,France,White,Aromatic & Floral
"Tyrrell's Vat 1 Sémillon 2014, Hunter Valley",Sémillon,Australia,White,Rich & Toasty
Veuve Monnay Brut Champagne NV,Chardonnay,France,White,Crisp & Fruity
Vignali Aglianico del Vulture 2018/19,Aglianico,Italy,Red,Bold & Spicy
Wakefield 'Visionary' Cabernet Sauvignon 2010,Cabernet Sauvignon,Australia,Red,Savoury & Full Bodied
"Yalumba 'The Menzies' Cabernet Sauvignon 2015/16, Coonawarra",Cabernet Sauvignon,Australia,Red,Savoury & Full Bodied
"Yalumba 'Virgilius' Viognier 2017, Eden Valley",Viognier,Australia,White,Aromatic & Floral